order_time,original_product_id,age,price,age_range,prefecture,area,tab,big_category,middle_category,color,favorite,review
2014/08/05 0:00:00,546433,35,2256,35歳-39歳,北海道,北海道,レディース,ワンピース・ドレス,マキシワンピ,グレー,118,0
2015/12/06 0:00:00,587892,23,660,20歳-24歳,東京都,関東,レディース,パンツ,ショートパンツ,ワイン,61,0
2012/11/12 0:00:00,125440,18,1220,15歳-19歳,熊本県,九州,レディース,トップス,ニット・セーター,チュニック,1843,4.01
2014/12/15 0:00:00,625171,35,0,35歳-39歳,愛知県,中部,レディース,トップス,ニット・セーター,フリー,1845,2.86
2016/07/05 0:00:00,854839,17,2187,15歳-19歳,大阪府,近畿,レディース,バッグ,ショルダーバッグ,ピンク,38443,3.93
2016/05/05 0:00:00,1068161,21,750,20歳-24歳,岐阜県,中部,レディース,パンツ,パンツ全般,ブラック,27238,2
2015/03/22 0:00:00,693255,24,1918,20歳-24歳,静岡県,中部,レディース,小物,その他小物,ブラック,3306,4.2
2014/11/07 0:00:00,560599,21,1056,20歳-24歳,東京都,関東,レディース,スカート,ミニスカート,S〜M,1035,2.46
2013/02/10 0:00:00,136398,22,753,20歳-24歳,大阪府,近畿,レディース,トップス,チューブトップ,L(004),334,2.66
2014/05/31 0:00:00,476362,36,2400,35歳-39歳,山形県,東北,レディース,スカート,ミニスカート,,451,4.5
2016/10/22 0:00:00,370730,23,999,20歳-24歳,,,キッズ,トップス,Ｔシャツ,13号(130cm),535,4.14
2013/11/28 0:00:00,343605,48,1315,45歳-49歳,愛知県,中部,レディース,トップス,カットソー,ホワイト,2414,3.15
2015/07/13 0:00:00,721790,35,2900,35歳-39歳,愛知県,中部,レディース,ワンピース・ドレス,サロペット,ブラック,1002,4.33
2012/09/20 0:00:00,118886,23,4743,20歳-24歳,福岡県,九州,不明,,,M,0,0
2017/01/16 0:00:00,1424830,20,2380,20歳-24歳,京都府,近畿,レディース,パンツ,デニム,Mサイズ,5275,4.36
2016/08/06 0:00:00,976586,18,2769,15歳-19歳,岐阜県,中部,レディース,パンツ,スキニーパンツ,ブルー<br>(入荷済),114,0
2016/08/02 0:00:00,729820,22,1834,20歳-24歳,茨城県,関東,レディース,バッグ,パーティバッグ,ブルーグレー,385,4.12
2015/06/16 0:00:00,410372,44,2263,40歳-44歳,東京都,関東,キッズ,パンツ,チノパンツ,160cm,293,4.54
2016/01/30 0:00:00,391433,23,890,20歳-24歳,愛知県,中部,レディース,シューズ,その他シューズ,M,5026,4.05
2015/10/31 0:00:00,318209,20,2380,20歳-24歳,愛知県,中部,レディース,トップス,パーカ,◆M,113955,4.01
2014/07/24 0:00:00,546326,28,2417,25歳-29歳,愛知県,中部,レディース,パンツ,その他パンツ,ライトブルー,386,2.18
2015/04/26 0:00:00,741806,47,1600,45歳-49歳,熊本県,九州,レディース,トップス,Ｔシャツ,F,7059,2.9
2014/07/05 0:00:00,477817,22,1250,20歳-24歳,福井県,中部,レディース,シューズ,サンダル,◆23,3881,3.47
2012/07/27 0:00:00,90946,28,934,25歳-29歳,長野県,中部,不明,,,ブルー,353,4.8
2012/07/27 0:00:00,25167,23,839,20歳-24歳,長野県,中部,レディース,インナー,レギンス・スパッツ,M,145,4.33
2016/04/10 0:00:00,475274,47,416,45歳-49歳,東京都,関東,レディース,シューズ,サンダル,シルバー,36225,4.3
2015/02/13 0:00:00,592544,不明,1899,不明,栃木県,関東,レディース,トップス,パーカ,L(002),3583,3.95
2016/04/29 0:00:00,391396,23,1671,20歳-24歳,宮崎県,九州,レディース,パンツ,パンツ全般,スカイブルー,18566,3.9
2013/06/04 0:00:00,242899,20,760,20歳-24歳,愛知県,中部,不明,,,B：ライトピンク,74,4
2017/01/29 0:00:00,1131662,58,2125,55歳-59歳,愛知県,中部,レディース,インナー,その他インナー,,80,0
2015/04/01 0:00:00,215519,37,600,35歳-39歳,大阪府,近畿,レディース,インナー,ショーツ,レッド,199,5
2016/05/26 0:00:00,992298,30,2745,30歳-34歳,千葉県,関東,レディース,バッグ,ポーチ,FREE,128,4
2016/08/03 0:00:00,1144591,28,1610,25歳-29歳,,,レディース,トップス,キャミソール,ブラック,221,0
2014/11/08 0:00:00,633490,26,2375,25歳-29歳,大阪府,近畿,不明,,,M,1200,3.91
2015/10/31 0:00:00,318209,40,2380,40歳-44歳,福島県,東北,レディース,トップス,パーカ,◆L,113955,4.01
2014/02/22 0:00:00,231309,22,1900,20歳-24歳,長崎県,九州,レディース,トップス,タンクトップ,ブラック,244,3.16
2016/12/15 0:00:00,1400912,20,1800,20歳-24歳,宮城県,東北,レディース,トップス,ニット・セーター,F,22325,3.12
2017/02/01 0:00:00,1403502,18,700,15歳-19歳,埼玉県,関東,レディース,小物,ベルト,ブラック,549,4
2013/05/29 0:00:00,231730,47,2420,45歳-49歳,千葉県,関東,レディース,水着,ビキニ,ホワイト【予約7月上旬】,183,3.88
